academic_mobility_radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total_teachers,teacher_turnover_rate,mean_school_vacancy_rate,satisfaction_inequality,mean_satisfaction_poor_schools,mean_satisfaction_good_schools,unemployment_rate,mean_satisfaction-all
5,0.1,1000,0.5,854,0.4811764705882353,0.8866666666666665,0.17013945577685505,0,0.8444329896907247,0,0.6722365339578473
5,0.1,1000,0.5,846,0.4682352941176471,0.8873333333333333,0.15965235079041207,0,0.8211764705882388,0,0.686615445232468
5,0.1,1000,0.5,852,0.4647058823529412,0.8873333333333335,0.1682505040087988,0,0.8456953642384144,0,0.6346126760563419
5,0.1,1000,0.5,857,0.4776470588235294,0.8879999999999999,0.16824772303119576,0,0.845665322580648,0,0.7157565149747193
5,0.1,1000,0.5,865,0.46588235294117647,0.8873333333333335,0.17602701818902622,0,0.8565096952908614,0,0.663703275529867
5,0.1,1000,0.5,832,0.48470588235294115,0.8906666666666666,0.18706780441440168,0,0.8642265795206998,0,0.7031891025641048
5,0.1,1000,0.5,849,0.4835294117647059,0.8866666666666667,0.16830422528260272,0,0.8449748743718625,0,0.6804554377699266
5,0.1,1000,0.5,885,0.47058823529411764,0.8833333333333335,0.16643728350125028,0,0.8399818181818203,0,0.7200263653483993
5,0.1,1000,0.5,855,0.5117647058823529,0.8873333333333335,0.1759571004263196,0,0.8408854166666697,0,0.6684405458089689
5,0.1,1000,0.5,857,0.48705882352941177,0.8873333333333333,0.15387243889432226,0,0.8144419134396385,0,0.6835278101905894
5,0.1,1000,0.5,881,0.4541176470588235,0.8826666666666667,0.15295964882736193,0,0.8229821073558686,0,0.7022739311388576
5,0.1,1000,0.5,830,0.4764705882352941,0.8880000000000001,0.16685525608011123,0,0.8255958549222827,0,0.662827309236949
5,0.1,1000,0.5,845,0.4858823529411765,0.8866666666666665,0.1733821089731449,0,0.8332043010752719,0,0.6918540433925072
5,0.1,1000,0.5,832,0.5047058823529412,0.8886666666666667,0.18683347080046597,0,0.8662327416173593,0,0.7274198717948737
5,0.1,1000,0.5,848,0.4647058823529412,0.8873333333333333,0.161048889443816,0,0.8303917050691288,0,0.6880542452830201
5,0.1,1000,0.5,843,0.4835294117647059,0.8913333333333333,0.16998367808561035,0,0.8342410714285737,0,0.6906445235270878
5,0.1,1000,0.5,861,0.46588235294117647,0.8866666666666665,0.1530258132633839,0,0.8389733840304169,0,0.6248741773132049
5,0.1,1000,0.5,915,0.4858823529411765,0.88,0.18849351575448606,0,0.8587407407407434,0,0.7139963570127501
5,0.1,1000,0.5,879,0.49411764705882355,0.8866666666666667,0.17914406980624076,0,0.8446566523605187,0,0.6903716344330704
5,0.1,1000,0.5,842,0.4588235294117647,0.8886666666666666,0.16269065263943458,0,0.8382560706401793,0,0.6993784639746641
5,0.1,1000,0.5,865,0.4964705882352941,0.8873333333333333,0.16517928283897437,0,0.8316061185468496,0,0.7125818882466298
5,0.1,1000,0.5,869,0.46941176470588236,0.8873333333333335,0.1858307537475918,0,0.8638222222222249,0,0.6930418105101661
5,0.1,1000,0.5,851,0.4717647058823529,0.8866666666666665,0.16126389697952132,0,0.8394658753709217,0,0.654712103407757
