percent-grammar-1,logistic?,alpha,gamma,mean_state,nodes _09
55,false,0.025,0.03,0.7072796566043449,0.36
55,false,0.025,0.03,0.7151184454732784,0.41
55,false,0.025,0.03,0.717334379763509,0.37
55,false,0.025,0.03,0.6866232749548654,0.34
55,false,0.025,0.03,0.7193410423862417,0.4
55,false,0.025,0.03,0.7144553013826465,0.38
55,false,0.025,0.03,0.7089182375656955,0.29
55,false,0.025,0.03,0.695231557165088,0.37
55,false,0.025,0.04,0.7737266436131227,0.44
55,false,0.025,0.04,0.7733711521156486,0.43
55,false,0.025,0.04,0.7644646813437039,0.43
55,false,0.025,0.04,0.7510617168937891,0.44
55,false,0.025,0.04,0.7331567894459305,0.45
55,false,0.025,0.04,0.7696818548186806,0.44
55,false,0.025,0.04,0.7648961228731663,0.42
55,false,0.025,0.04,0.766404230605157,0.44
55,false,0.025,0.04,0.763441038968017,0.41
55,false,0.025,0.04,0.774362435153118,0.37
55,false,0.025,0.04,0.774586122686456,0.44
55,false,0.025,0.04,0.765921346870051,0.45
55,false,0.025,0.04,0.76215362281218,0.45
55,false,0.025,0.04,0.7597577152771946,0.42
55,false,0.025,0.04,0.7854994259747511,0.42
55,false,0.025,0.04,0.770390492429805,0.46
55,false,0.025,0.04,0.7712891874010814,0.46
55,false,0.025,0.04,0.7769897443848889,0.45
55,false,0.025,0.04,0.7780232001151552,0.46
55,false,0.025,0.04,0.7711184962923359,0.41
55,false,0.03,0.02,0.6540346707118672,0.35
55,false,0.03,0.02,0.637545162844917,0.36
55,false,0.03,0.02,0.6432676658421499,0.28
55,false,0.03,0.02,0.6435678961338053,0.3
55,false,0.03,0.02,0.6663146663549724,0.32
55,false,0.03,0.02,0.6492479878524007,0.39
55,false,0.03,0.02,0.6558177499898438,0.28
55,false,0.03,0.02,0.651332680203208,0.3
55,false,0.03,0.02,0.6492347667673752,0.33
55,false,0.03,0.02,0.6374447438664583,0.26
55,false,0.03,0.02,0.6498449958688503,0.3
55,false,0.03,0.02,0.6377019813231807,0.28
55,false,0.03,0.02,0.6419247417938136,0.32
55,false,0.03,0.02,0.6574935172188282,0.32
55,false,0.03,0.02,0.6509512971000845,0.34
55,false,0.03,0.02,0.6522249461044975,0.31
55,false,0.03,0.02,0.6585690089549158,0.35
55,false,0.03,0.02,0.6579800858323059,0.36
55,false,0.03,0.02,0.6546755313829297,0.3
55,false,0.03,0.02,0.6508711255761458,0.32
55,false,0.03,0.03,0.7113153687629579,0.41
55,false,0.03,0.03,0.7092163250612373,0.38
55,false,0.03,0.03,0.7062043753283526,0.36
55,false,0.03,0.03,0.7262059873168774,0.38
55,false,0.03,0.03,0.7037522990352889,0.33
55,false,0.03,0.03,0.7331111154173897,0.37
55,false,0.03,0.03,0.6995663357779383,0.36
55,false,0.03,0.03,0.7110531734505149,0.35
55,false,0.03,0.03,0.6899990833511827,0.4
55,false,0.03,0.03,0.7171357707800387,0.38
55,false,0.03,0.03,0.7117571273541979,0.36
55,false,0.03,0.03,0.7227350057822659,0.44
55,false,0.03,0.03,0.6985374596772183,0.37
55,false,0.03,0.03,0.7245033585404097,0.4
55,false,0.03,0.03,0.7101603782783833,0.37
55,false,0.03,0.03,0.7226879894621656,0.33
55,false,0.03,0.03,0.695336346483393,0.38
55,false,0.03,0.03,0.7279107007914074,0.4
55,false,0.03,0.04,0.770008170031004,0.4
55,false,0.03,0.03,0.7292693165065361,0.41
55,false,0.03,0.03,0.7179594289051333,0.37
55,false,0.03,0.04,0.7878761151087222,0.45
55,false,0.03,0.04,0.7503224473354062,0.43
55,false,0.03,0.04,0.7483220057041539,0.43
55,false,0.03,0.04,0.7869787901012414,0.48
55,false,0.03,0.04,0.7656287082353108,0.44
55,false,0.03,0.04,0.7443402393881786,0.41
55,false,0.03,0.04,0.7625031013439663,0.44
55,false,0.03,0.04,0.7809962782142569,0.44
55,false,0.03,0.04,0.7558003718275106,0.46
55,false,0.03,0.04,0.7770097184471747,0.43
55,false,0.03,0.04,0.7775571611374476,0.47
55,false,0.03,0.04,0.7668831428262547,0.46
55,false,0.03,0.04,0.7704140068092303,0.37
55,false,0.03,0.04,0.7659079105164602,0.44
55,false,0.03,0.04,0.7647937085516187,0.47
55,false,0.03,0.04,0.7688612068838758,0.46
55,false,0.03,0.04,0.7756600941250071,0.4
55,false,0.03,0.04,0.7876287838561027,0.41
55,false,0.03,0.04,0.7314626724937692,0.43
55,false,0.035,0.02,0.6292107636705012,0.31
55,false,0.035,0.02,0.658291408122966,0.36
55,false,0.035,0.02,0.6521134990955645,0.34
55,false,0.035,0.02,0.6591138368077419,0.33
55,false,0.035,0.02,0.660145368745295,0.37
55,false,0.035,0.02,0.646292502654953,0.36
55,false,0.035,0.02,0.6393030763124196,0.31
55,false,0.035,0.02,0.6557675004507515,0.34
55,false,0.035,0.02,0.6583746574237419,0.31
55,false,0.035,0.02,0.6477464989138761,0.34
55,false,0.035,0.02,0.6484886951872368,0.3
55,false,0.035,0.02,0.6564816687410365,0.26
55,false,0.035,0.02,0.6565593965329795,0.38
55,false,0.035,0.02,0.6509262949784741,0.31
55,false,0.035,0.02,0.6577057984254135,0.34
55,false,0.035,0.02,0.6564146034532521,0.4
55,false,0.035,0.02,0.6419832725014822,0.37
55,false,0.035,0.02,0.6609704542460529,0.34
55,false,0.035,0.02,0.6644333708601781,0.37
55,false,0.035,0.02,0.6634460532680329,0.33
55,false,0.035,0.03,0.7267936883262177,0.43
55,false,0.035,0.03,0.72536145632776,0.39
55,false,0.035,0.03,0.7010213608185561,0.38
55,false,0.035,0.03,0.7025835320291638,0.35
55,false,0.035,0.03,0.7406756789940225,0.38
55,false,0.035,0.03,0.7261223326326534,0.4
55,false,0.035,0.03,0.7118376611003546,0.41
55,false,0.035,0.03,0.7160295700984274,0.37
55,false,0.035,0.03,0.7169887703182325,0.44
55,false,0.035,0.03,0.7231632913995069,0.32
55,false,0.035,0.03,0.6994190881608537,0.4
55,false,0.035,0.03,0.7329350809536086,0.4
55,false,0.035,0.03,0.6899791492312046,0.39
55,false,0.035,0.03,0.7154983613148425,0.39
55,false,0.035,0.03,0.722135106625221,0.38
55,false,0.035,0.03,0.7083428979748442,0.34
55,false,0.035,0.03,0.7318681789958973,0.41
55,false,0.035,0.03,0.7031268793056392,0.31
55,false,0.035,0.03,0.7145347188326118,0.43
55,false,0.035,0.03,0.718152814141073,0.42
55,false,0.035,0.04,0.7500074323745004,0.37
55,false,0.035,0.04,0.7804371554502496,0.4
55,false,0.035,0.04,0.7650270409195902,0.44
55,false,0.035,0.04,0.7353005702101997,0.48
55,false,0.035,0.04,0.7423018443360793,0.42
55,false,0.035,0.04,0.747133242488678,0.43
55,false,0.035,0.04,0.7421850439332518,0.43
55,false,0.035,0.04,0.7724247339612939,0.45
55,false,0.035,0.04,0.7749211130327781,0.47
55,false,0.035,0.04,0.7613026299205085,0.38
55,false,0.035,0.04,0.7734644686803229,0.43
55,false,0.035,0.04,0.7767410773452609,0.37
55,false,0.035,0.04,0.7647326982756817,0.41
55,false,0.035,0.04,0.7833099055878854,0.4
55,false,0.035,0.04,0.7788367478105152,0.45
55,false,0.035,0.04,0.775372205383592,0.4
55,false,0.035,0.04,0.775460546133852,0.43
55,false,0.035,0.04,0.7616966557040409,0.34
55,false,0.035,0.04,0.7636809675824349,0.41
55,false,0.035,0.04,0.7688927106799102,0.44
55,false,0.04,0.02,0.6493990981530858,0.35
55,false,0.04,0.02,0.6438210779291031,0.37
55,false,0.04,0.02,0.6449533089303834,0.36
55,false,0.04,0.02,0.6714124696061478,0.32
55,false,0.04,0.02,0.6450082400543483,0.32
55,false,0.04,0.02,0.65325107398257,0.29
55,false,0.04,0.02,0.6369717381120696,0.35
55,false,0.04,0.02,0.6636421127269508,0.33
55,false,0.04,0.02,0.6432423897037682,0.39
55,false,0.04,0.02,0.6575081833027429,0.32
55,false,0.04,0.02,0.6283261653363321,0.37
55,false,0.04,0.02,0.6628745707141589,0.37
55,false,0.04,0.02,0.6722868829137993,0.37
55,false,0.04,0.02,0.6444775020277919,0.32
55,false,0.04,0.02,0.666203670123469,0.32
55,false,0.04,0.02,0.6576101170126869,0.41
55,false,0.04,0.02,0.6547376646431097,0.28
55,false,0.04,0.02,0.6618797832256114,0.29
55,false,0.04,0.02,0.6553930439455349,0.35
55,false,0.04,0.02,0.6434801689877215,0.36
55,false,0.04,0.03,0.7117474060446276,0.37
55,false,0.04,0.03,0.6926592337151475,0.39
55,false,0.04,0.03,0.7075567706918869,0.4
55,false,0.04,0.03,0.6935969228374601,0.36
55,false,0.04,0.03,0.7168793849602578,0.4
55,false,0.04,0.03,0.7187579126501222,0.34
55,false,0.04,0.03,0.6917720520791539,0.41
55,false,0.04,0.03,0.7119498821629311,0.36
55,false,0.04,0.03,0.721224896962156,0.4
55,false,0.04,0.03,0.7110742310517253,0.36
55,false,0.04,0.03,0.7298012534114311,0.4
55,false,0.04,0.03,0.7214264671211825,0.36
55,false,0.04,0.03,0.71198496095936,0.38
55,false,0.04,0.03,0.710965692184133,0.37
55,false,0.04,0.03,0.7171826407360691,0.4
55,false,0.04,0.03,0.7278247060635725,0.41
55,false,0.04,0.03,0.7125987972798508,0.38
55,false,0.04,0.03,0.7065422842776481,0.4
55,false,0.04,0.03,0.7121279234143878,0.43
55,false,0.04,0.03,0.6963968773862527,0.34
55,false,0.04,0.04,0.7717044052571793,0.43
55,false,0.04,0.04,0.7799185833541208,0.38
55,false,0.04,0.04,0.7683864358966888,0.42
55,false,0.04,0.04,0.7516395944418633,0.43
55,false,0.04,0.04,0.7561013188752799,0.41
