school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,25,true,0.2,0.5130453200324566,0.8764137623118007
10,true,25,true,0.2,0.7013191547517555,1.1961145779185527
10,true,25,true,0.2,0.60412497613854,0.9751458104628172
10,true,25,true,0.2,0.5149041326577505,0.7619511454923646
10,true,25,true,0.2,0.4225101817491204,0.48798300571943276
10,true,25,true,0.2,0.5384999999999998,0.9040397726713714
10,true,25,true,0.2,0.5182709447415329,0.7303062571675714
10,true,25,true,0.2,0.5783860783860785,0.816255467840076
10,true,25,true,0.2,0.42652080361110445,0.6807301480570276
10,true,25,true,0.3,0.797109911936601,1.781582667540099
10,true,25,true,0.3,0.7603894182745963,0.9322753510000679
10,true,25,true,0.3,0.6195030914493864,0.5617488584689383
10,true,25,true,0.3,0.543967355341519,0.6320101992845766
10,true,25,true,0.3,0.453660175784368,0.6826128438256927
10,true,25,true,0.3,0.4760975609756099,0.6916290708604178
10,true,25,true,0.3,0.5049272468559388,0.580061062884111
10,true,25,true,0.3,0.4514369828216279,0.7979815716841729
10,true,25,true,0.3,0.472326203208556,0.49132742728052126
10,true,25,true,0.3,0.5590714172540161,0.6501601717062027
10,true,25,true,0.3,0.6609273998938353,1.0094969155569071
10,true,25,true,0.3,0.5297564721416436,0.7329397302841052
10,true,25,true,0.3,0.5836737589063147,0.8800150201212036
10,true,25,true,0.3,0.5607473630048881,1.1977123542940395
10,true,25,true,0.3,0.5241985280801545,0.7704593930875179
10,true,25,true,0.3,0.4799910873440283,0.800352477083595
10,true,25,true,0.3,0.45146941447622124,0.5637898010575952
10,true,25,true,0.3,0.5067277768347197,0.4533964601925433
10,true,25,true,0.3,0.5792153949386503,0.5934408321562472
10,true,25,true,0.3,0.6600090590798913,1.102748532855573
10,true,25,true,0.3,0.5710775983668643,1.0415231545920838
10,true,25,true,0.3,0.6081466081466083,0.8925217168002115
10,true,25,true,0.3,0.5922101221765731,0.6504804353069007
10,true,25,true,0.3,0.6634615455100573,0.8900830977523553
10,true,25,true,0.3,0.5636710469594792,0.7949720243364915
10,true,25,true,0.3,0.5524817963851916,0.6987508069366397
10,true,25,true,0.3,0.7088402809001854,1.1955611393590067
10,true,25,true,0.3,0.5296600662017209,0.5830822880807469
10,true,25,true,0.3,0.5307433321413391,0.5746316208625064
10,true,25,true,0.3,0.6212345679012344,0.4609351781668902
10,true,25,true,0.4,0.4419578631030403,0.2585058688209978
10,true,25,true,0.4,0.6209167919729266,0.649461867954515
10,true,25,true,0.4,0.5961350844277674,1.0082049786037839
10,true,25,true,0.4,0.6129353345113742,0.9758727056503416
10,true,25,true,0.4,0.4291353968642984,0.4330537333335691
10,true,25,true,0.4,0.42766339410528453,0.24802873064796582
10,true,25,true,0.4,0.5761658838190183,0.5973337315382592
10,true,25,true,0.4,0.7814856903702456,1.6711210044837568
