academic-mobility-radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total-teachers,teacher-turnover-rate,mean-school-vacancy-rate,satisfaction-inequality,mean-satisfaction-poor-schools,mean-satisfaction-good-schools,unemployment-rate,mean-satisfaction-all
5,0.1,4000,0.3,867,0.4682352941176471,0.9919999999999999,0.27970690410284577,0.15544895448954488,0.861902654867259,0.0057670126874279125,0.4961214230471795
5,0.1,4000,0.3,884,0.4823529411764706,0.9720000000000001,0.2952360666165287,0.11802130898021293,0.8512269938650322,0.004524886877828055,0.5409431818181836
5,0.1,4000,0.3,869,0.47294117647058825,0.9633333333333335,0.2823242860570567,0.1509161147902871,0.8200000000000023,0.006904487917146145,0.4769138663576679
5,0.1,4000,0.3,855,0.4858823529411765,0.9526666666666666,0.2979009277977261,0.11833333333333325,0.861551724137932,0.0035087719298245615,0.5716040688575906
5,0.1,4000,0.3,861,0.48470588235294115,0.9453333333333334,0.28307178395788707,0.13846846846846847,0.8245045045045074,0.003484320557491289,0.5923659673659687
5,0.1,4000,0.5,814,0.47411764705882353,0.8933333333333333,0.15863013387472613,0,0.8348462929475619,0,0.7404258804258825
5,0.1,4000,0.5,878,0.4611764705882353,0.8866666666666667,0.18253177079650248,0,0.8578062157221237,0,0.7292596810933947
5,0.1,4000,0.5,865,0.4964705882352941,0.8853333333333336,0.17893010027857037,0,0.8398541666666695,0,0.6947321772639699
5,0.1,4000,0.5,865,0.4752941176470588,0.8873333333333335,0.18355710395340416,0,0.8524947589098565,0,0.6941502890173431
5,0.1,4000,0.5,873,0.49411764705882355,0.8873333333333331,0.17200873188961976,0,0.840168776371311,0,0.6963917525773209
5,0.1,4000,0.5,862,0.47058823529411764,0.8866666666666667,0.16881027563169784,0,0.8494455445544606,0,0.7164539829853059
5,0.1,4000,0.5,840,0.4776470588235294,0.8919999999999999,0.1545696546251295,0,0.8161442786069683,0,0.6713888888888916
5,0.1,4000,0.5,866,0.48823529411764705,0.8873333333333333,0.15461013961204043,0,0.8241904761904804,0,0.7138837567359521
5,0.1,4000,0.5,848,0.48,0.8880000000000001,0.16360370864170926,0,0.8312439024390281,0,0.6757979559748444
5,0.1,4000,0.7,849,0.46,0.8873333333333335,0.17311956369572357,0,0.8444208037825092,0,0.6910993325480972
5,0.1,4000,0.7,855,0.49058823529411766,0.8886666666666667,0.1734870370671804,0,0.838446389496722,0,0.6942923976608214
