neighborhood-range,tolerance,init-sd,enable-movement?,responsiveness,polarization,moran-i-ideology
4,0.15,0.2,true,0.25,0.1020395785740899,1.0115082152522128
4,0.05,0.2,true,0.25,0.15854473588357917,1.0123061990412006
4,0.15,0.2,true,0.25,0.10219492414276923,1.0171788445792758
4,0.1,0.2,true,0.25,0.13813263274910575,0.9788341458414024
4,0.05,0.2,true,0.25,0.16000766654623289,1.018428659930537
4,0.05,0.2,true,0.25,0.1613879971843981,1.0045971295413956
4,0.15,0.2,true,0.25,0.10219123040049186,1.0222980433629778
4,0.1,0.2,true,0.25,0.13888146507683236,0.9953223768305913
4,0.05,0.2,true,0.25,0.1623943497287077,1.0273011222900612
4,0.1,0.2,true,0.25,0.13970153927657405,1.0007572794885666
4,0.15,0.2,true,0.25,0.10234205836025237,1.0478833733877022
4,0.05,0.2,true,0.25,0.16363282948625296,1.0129073408092113
4,0.1,0.2,true,0.25,0.14105142213812893,0.9994795656821153
4,0.15,0.2,true,0.25,0.1025179847208795,1.0402239448273258
4,0.05,0.2,true,0.25,0.16546972588579023,0.9984013276616632
4,0.15,0.2,true,0.25,0.10279088671865526,1.0352647921373577
4,0.1,0.2,true,0.25,0.14172649729369335,0.9855519301830061
4,0.15,0.2,true,0.25,0.1031323407632557,1.0320467558090114
4,0.05,0.2,true,0.25,0.1663969994211153,1.025080576802082
4,0.1,0.2,true,0.25,0.14283609475735165,1.0050768899171016
4,0.15,0.2,true,0.25,0.10335249162231071,1.0155090007979657
4,0.05,0.2,true,0.25,0.16798883196867842,1.0069027533346602
4,0.1,0.2,true,0.25,0.1436137099680854,0.989249898433535
4,0.15,0.2,true,0.25,0.10370740599474457,1.0117978289781853
4,0.05,0.2,true,0.25,0.16979312829640192,1.0180627376035343
4,0.1,0.2,true,0.25,0.1442397466732463,1.0070981291890526
4,0.15,0.2,true,0.25,0.10387418717550088,1.038197428978208
4,0.05,0.2,true,0.25,0.17041567103076452,1.0335530344933799
4,0.1,0.2,true,0.25,0.14502194849227015,1.015361743079491
4,0.15,0.2,true,0.25,0.10412044364271786,1.0497426413382052
4,0.05,0.2,true,0.25,0.17165781268729854,1.0246495396834252
4,0.1,0.2,true,0.25,0.14577019610886582,1.0187322499329763
4,0.15,0.2,true,0.25,0.10411252863411306,1.03573735513741
4,0.05,0.2,true,0.25,0.1729240592884334,1.016075985541651
4,0.1,0.2,true,0.25,0.146472458405522,1.0289102986647691
4,0.15,0.2,true,0.25,0.10418877487879535,1.0415616432555954
4,0.05,0.2,true,0.25,0.1741171540574853,1.0158455274173206
4,0.1,0.2,true,0.25,0.1473126186640947,1.0163007941114175
4,0.15,0.2,true,0.25,0.10429578766514931,1.0430793847967827
4,0.05,0.2,true,0.25,0.17538348452165398,1.0229498067568508
4,0.1,0.2,true,0.25,0.14817576985189804,1.025571765416284
4,0.05,0.2,true,0.25,0.1764719318467582,1.019670885164205
4,0.15,0.2,true,0.25,0.10457208543480116,1.0311784117200373
4,0.05,0.2,true,0.25,0.1773190456584102,1.0213194579934057
4,0.1,0.2,true,0.25,0.14904244128133703,1.0289517087522762
4,0.15,0.2,true,0.25,0.1045689650722403,1.0369618163288707
4,0.05,0.2,true,0.25,0.17840395596879458,1.0274264111347557
4,0.1,0.2,true,0.25,0.14958051184944016,1.0186461920149856
4,0.15,0.2,true,0.25,0.10458826814147412,1.043178792605273
4,0.05,0.2,true,0.25,0.1793829884972852,1.0225065142556349
4,0.15,0.2,true,0.25,0.10460750693043586,1.0437874720835336
4,0.1,0.2,true,0.25,0.15005749226926493,1.0262482233581303
4,0.15,0.2,true,0.25,0.10476073243474328,1.0447354536334297
4,0.05,0.2,true,0.25,0.18028108445349567,1.038126145622959
4,0.1,0.2,true,0.25,0.1507644676809972,1.0093818507202872
4,0.05,0.2,true,0.25,0.18160615192538437,1.0383508721100085
4,0.15,0.2,true,0.25,0.1050544468569586,1.0444283904662255
4,0.1,0.2,true,0.25,0.15132617403159865,1.0257400904662137
4,0.05,0.2,true,0.25,0.18252807185121137,1.0333419577100296
4,0.15,0.2,true,0.25,0.10512283372332784,1.047689324881639
4,0.1,0.2,true,0.25,0.1523320013470369,1.0313873533177698
4,0.05,0.2,true,0.25,0.1834843824382662,1.0304855332671008
4,0.15,0.2,true,0.25,0.10517459961869965,1.0502450703623678
4,0.1,0.2,true,0.25,0.15360757039025552,1.0333066520588525
4,0.05,0.2,true,0.25,0.18428291024110646,1.0428270230616323
4,0.15,0.2,true,0.25,0.10506860956672208,1.0497782593778735
4,0.05,0.2,true,0.25,0.18531341706764917,1.0463217950121968
4,0.1,0.2,true,0.25,0.15421291200000678,1.0233907624044511
4,0.15,0.2,true,0.25,0.10509378656526637,1.0539137902638729
4,0.05,0.2,true,0.25,0.18672913530664562,1.0375505277853059
4,0.15,0.2,true,0.25,0.10498716441893866,1.0537107684954432
