
"number","max-jobs","poor-price-priority","rich-quality-priority","death-rate","poor-per-step","rich-per-step","residents-per-job","number-of-tests","Time","median_job_distance_rich","median_job_distance_poor"
"5","10","-1","1","4","5","5","100","15","40","25.942243542145693","7.0710678118654755"
"1","10","-1","-1","4","5","5","100","15","39","6.324555320336759","6.324555320336759"
"4","10","-1","0.5","4","5","5","100","15","44","6.324555320336759","5"
"4","10","-1","0.5","4","5","5","100","15","45","6.082762530298219","5.049509756796392"
"4","10","-1","0.5","4","5","5","100","15","46","6.082762530298219","4.47213595499958"
"4","10","-1","0.5","4","5","5","100","15","47","6.082762530298219","4.73606797749979"
"5","10","-1","1","4","5","5","100","15","41","25.129425467320765","7.0710678118654755"
"1","10","-1","-1","4","5","5","100","15","40","6.324555320336759","6.4031242374328485"
"4","10","-1","0.5","4","5","5","100","15","48","6.082762530298219","5"
"5","10","-1","1","4","5","5","100","15","42","25.019992006393608","7"
"4","10","-1","0.5","4","5","5","100","15","49","6.363839778884804","5.049509756796392"
"5","10","-1","1","4","5","5","100","15","43","25.34735152548182","7.035533905932738"
"1","10","-1","-1","4","5","5","100","15","41","6.324555320336759","6.363839778884804"
"4","10","-1","0.5","4","5","5","100","15","50","6.324555320336759","5"
"5","10","-1","1","4","5","5","100","15","44","16","7"
"5","10","-1","1","4","5","5","100","15","45","15.554223420810125","6.854101966249685"
"6","10","-0.5","-1","4","5","5","100","15","0","3.7353427043304266","4.20744815159522"
"5","10","-1","1","4","5","5","100","15","46","15.231546211727817","6.4031242374328485"
"1","10","-1","-1","4","5","5","100","15","42","6.324555320336759","6.4031242374328485"
"6","10","-0.5","-1","4","5","5","100","15","1","6.225315362159447","6.277951017663344"
"5","10","-1","1","4","5","5","100","15","47","15.554223420810125","6.4031242374328485"
"6","10","-0.5","-1","4","5","5","100","15","2","8.48528137423857","6.4031242374328485"
"6","10","-0.5","-1","4","5","5","100","15","3","11.237514762494317","11.783639655793909"
"5","10","-1","1","4","5","5","100","15","48","15.811388300841896","6.324555320336759"
"1","10","-1","-1","4","5","5","100","15","43","5.743903072168841","6.4031242374328485"
"6","10","-0.5","-1","4","5","5","100","15","4","10.770329614269007","12.165525060596439"
"5","10","-1","1","4","5","5","100","15","49","15.554223420810125","6.041381265149109"
"6","10","-0.5","-1","4","5","5","100","15","5","11.488442615001354","10.444293615748258"
"5","10","-1","1","4","5","5","100","15","50","15","5.830951894845301"
"6","10","-0.5","-1","4","5","5","100","15","6","10.770329614269007","11.40175425099138"
"7","10","-0.5","-0.5","4","5","5","100","15","0","3.9287197361666797","3.5617658628219604"
"6","10","-0.5","-1","4","5","5","100","15","7","12.144800794664137","10.417867691523991"
"7","10","-0.5","-0.5","4","5","5","100","15","1","4.801083918055486","3.7808829314109804"
"6","10","-0.5","-1","4","5","5","100","15","8","13.038404810405298","9.219544457292887"
"1","10","-1","-1","4","5","5","100","15","44","5.830951894845301","6.4031242374328485"
"6","10","-0.5","-1","4","5","5","100","15","9","13.005717125389346","11.783639655793909"
"7","10","-0.5","-0.5","4","5","5","100","15","2","5.830951894845301","4.596357963465194"
"6","10","-0.5","-1","4","5","5","100","15","10","11.313708498984761","11.40175425099138"
"7","10","-0.5","-0.5","4","5","5","100","15","3","11.544708574792034","9.081908183646023"
"1","10","-1","-1","4","5","5","100","15","45","5.91547594742265","6.737096024649162"
"6","10","-0.5","-1","4","5","5","100","15","11","11.35773137498807","8.94427190999916"
"7","10","-0.5","-0.5","4","5","5","100","15","4","12.649110640673518","13.038404810405298"
"6","10","-0.5","-1","4","5","5","100","15","12","10","8.94427190999916"
"7","10","-0.5","-0.5","4","5","5","100","15","5","13.625537606978597","13.590270217068124"
"6","10","-0.5","-1","4","5","5","100","15","13","9.433981132056603","8.154234499766936"
"7","10","-0.5","-0.5","4","5","5","100","15","6","15.132745950421556","8.54400374531753"
"6","10","-0.5","-1","4","5","5","100","15","14","9.055385138137417","8.06225774829855"
"1","10","-1","-1","4","5","5","100","15","46","5.830951894845301","7.0710678118654755"
"7","10","-0.5","-0.5","4","5","5","100","15","7","13.190034437265815","9.123105625617661"
"6","10","-0.5","-1","4","5","5","100","15","15","9.027692569068709","8.06225774829855"
"7","10","-0.5","-0.5","4","5","5","100","15","8","12.649110640673518","10"
"6","10","-0.5","-1","4","5","5","100","15","16","7.0710678118654755","8.246211251235321"
"7","10","-0.5","-0.5","4","5","5","100","15","9","12.509213758763249","8.246211251235321"
"6","10","-0.5","-1","4","5","5","100","15","17","7","8.772001872658766"
"7","10","-0.5","-0.5","4","5","5","100","15","10","12.649110640673518","8.246211251235321"
"6","10","-0.5","-1","4","5","5","100","15","18","7.0710678118654755","8.54400374531753"
"1","10","-1","-1","4","5","5","100","15","47","5.377936881542583","6.4031242374328485"
"6","10","-0.5","-1","4","5","5","100","15","19","7","8.154234499766936"
"7","10","-0.5","-0.5","4","5","5","100","15","11","12.287936246293341","7.807886552931954"
"6","10","-0.5","-1","4","5","5","100","15","20","7.0710678118654755","8"
"7","10","-0.5","-0.5","4","5","5","100","15","12","11.661903789690601","7.615773105863909"
"6","10","-0.5","-1","4","5","5","100","15","21","7.280109889280518","6.697811566101118"
"7","10","-0.5","-0.5","4","5","5","100","15","13","10.921030379950965","7.447941497572213"
"1","10","-1","-1","4","5","5","100","15","48","5","7.0710678118654755"
"6","10","-0.5","-1","4","5","5","100","15","22","7.280109889280518","7.615773105863909"
"7","10","-0.5","-0.5","4","5","5","100","15","14","8.06225774829855","7.615773105863909"
"6","10","-0.5","-1","4","5","5","100","15","23","7.76316057025792","6.697811566101118"
"7","10","-0.5","-0.5","4","5","5","100","15","15","8.06225774829855","7.615773105863909"
"6","10","-0.5","-1","4","5","5","100","15","24","7.280109889280518","6.324555320336759"
"6","10","-0.5","-1","4","5","5","100","15","25","7.280109889280518","5.242092160363644"
"7","10","-0.5","-0.5","4","5","5","100","15","16","8.06225774829855","7.615773105863909"
"6","10","-0.5","-1","4","5","5","100","15","26","7.280109889280518","5.0990195135927845"
"1","10","-1","-1","4","5","5","100","15","49","5","6.555664084966109"
"6","10","-0.5","-1","4","5","5","100","15","27","7.175588850572996","5"
"7","10","-0.5","-0.5","4","5","5","100","15","17","7.440658743886065","7.9362537121026016"
"7","10","-0.5","-0.5","4","5","5","100","15","18","7.0710678118654755","9.219544457292887"
"6","10","-0.5","-1","4","5","5","100","15","28","6.4031242374328485","5"
"6","10","-0.5","-1","4","5","5","100","15","29","6.324555320336759","4.47213595499958"
"7","10","-0.5","-0.5","4","5","5","100","15","19","6.697811566101118","9.667845391150621"
"6","10","-0.5","-1","4","5","5","100","15","30","6.4031242374328485","4.47213595499958"
"7","10","-0.5","-0.5","4","5","5","100","15","20","6.082762530298219","9.486832980505138"
"7","10","-0.5","-0.5","4","5","5","100","15","21","6.363839778884804","9.219544457292887"
"6","10","-0.5","-1","4","5","5","100","15","31","6.0777536075910294","4.357388321059432"
"6","10","-0.5","-1","4","5","5","100","15","32","5.385164807134504","4.47213595499958"
"1","10","-1","-1","4","5","5","100","15","50","4.47213595499958","6.708203932499369"
"6","10","-0.5","-1","4","5","5","100","15","33","5.385164807134504","4.357388321059432"
"7","10","-0.5","-0.5","4","5","5","100","15","22","7","9.848857801796104"
"6","10","-0.5","-1","4","5","5","100","15","34","5.385164807134504","4.47213595499958"
"6","10","-0.5","-1","4","5","5","100","15","35","5.385164807134504","4.357388321059432"
"7","10","-0.5","-0.5","4","5","5","100","15","23","7.535533905932738","9.326762794674746"
"6","10","-0.5","-1","4","5","5","100","15","36","5.0990195135927845","4.47213595499958"
"7","10","-0.5","-0.5","4","5","5","100","15","24","7.0710678118654755","7.280109889280518"
"7","10","-0.5","-0.5","4","5","5","100","15","25","6.854101966249685","6.8896358721824225"
"6","10","-0.5","-1","4","5","5","100","15","37","5.0990195135927845","4.357388321059432"
"7","10","-0.5","-0.5","4","5","5","100","15","26","7","7.0710678118654755"
"6","10","-0.5","-1","4","5","5","100","15","38","5.0990195135927845","4.47213595499958"
"8","10","-0.5","0","4","5","5","100","15","0","4.125784717998772","3.1743525177939675"
"7","10","-0.5","-0.5","4","5","5","100","15","27","7.175588850572996","7.175588850572996"
"6","10","-0.5","-1","4","5","5","100","15","39","5.242092160363644","5"
"7","10","-0.5","-0.5","4","5","5","100","15","28","7.280109889280518","8.06225774829855"
"6","10","-0.5","-1","4","5","5","100","15","40","5.0990195135927845","5"
"7","10","-0.5","-0.5","4","5","5","100","15","29","6.8896358721824225","7.566662780082012"
"8","10","-0.5","0","4","5","5","100","15","1","5.942221101019777","5.012305905362071"
"6","10","-0.5","-1","4","5","5","100","15","41","5.0990195135927845","5"
"7","10","-0.5","-0.5","4","5","5","100","15","30","7.0710678118654755","6.708203932499369"
"6","10","-0.5","-1","4","5","5","100","15","42","5.385164807134504","5"
"7","10","-0.5","-0.5","4","5","5","100","15","31","6.708203932499369","6.269577913672335"
"6","10","-0.5","-1","4","5","5","100","15","43","5.385164807134504","5"
"8","10","-0.5","0","4","5","5","100","15","2","7.280109889280518","5.0990195135927845"
"7","10","-0.5","-0.5","4","5","5","100","15","32","6.708203932499369","5.385164807134504"
"6","10","-0.5","-1","4","5","5","100","15","44","5.385164807134504","5"
"7","10","-0.5","-0.5","4","5","5","100","15","33","6.16227766016838","5.242092160363644"
"6","10","-0.5","-1","4","5","5","100","15","45","5.385164807134504","5.0990195135927845"
"8","10","-0.5","0","4","5","5","100","15","3","11.721674414891837","12.989862426483477"
