pinch-chance,pinch-time,super-level,step,avg-super-score,avg-normal-score,gap-super-normal,avg-super-score_effect_diff,avg-normal-score_effect_diff
0.1,5,low,1,71.39538093442505,129.45366253779562,-58.05828160337066,49.195380934425046,49.94014902428218
0.1,0,low,4,62.07261904761905,142.4972169031379,-80.42459785551893,13.472619047619048,38.2359556418767
0.1,5,high,2,156.1056140350877,105.68586233330815,50.419751701779546,59.655614035087716,39.983159630605456
0.1,5,high,3,175.96579365079361,101.348928023541,74.6168656272526,61.96579365079365,35.38946856408157
0.1,5,high,2,137.86213622291024,113.62859064635379,24.233545576556423,42.762136222910215,41.69615821392138
0.1,5,high,3,180.64632414369254,116.17241693329156,64.47390721040104,59.59632414369257,36.34809260896722
0.1,5,low,1,72.00135069179187,122.1146343707876,-50.11328367899577,54.30135069179187,50.26328301943627
0.1,5,low,2,69.13496753246753,127.19204222841998,-58.05707469595244,49.03496753246753,43.07042060679831
0.1,5,low,2,67.96713383838384,122.71838817419315,-54.751254335809264,45.767133838383835,43.20487466067962
0.1,5,high,3,155.04474358974358,112.43334708334709,42.611396506396474,47.34474358974359,37.32523897523898
0.1,0,low,5,69.06439393939395,150.36981309659328,-81.30541915719935,11.46439393939394,37.64008336686356
0.1,5,high,4,172.65277777777777,99.31640190080593,73.33637587697183,58.652777777777786,33.356942441346476
0.1,5,high,3,158.17999999999998,99.08118761961639,59.09881238038358,61.730000000000004,33.37848491691372
0.1,5,high,4,182.35999999999999,113.94819405875904,68.41180594124094,61.31,34.123869734434756
0.1,5,low,2,65.03159965034965,114.98325499478749,-49.95165534443788,47.331599650349645,43.13190364343616
0.1,5,high,3,136.66142857142856,109.82045350721816,26.840975064210326,41.561428571428564,37.88802107478579
0.1,5,low,3,48.4602380952381,117.65672415188669,-69.19648605664858,26.260238095238094,38.143210638373176
0.1,5,high,4,154.01762626262627,111.52124209624206,42.496384166384146,46.31762626262626,36.41313398813399
0.1,5,low,3,62.12984848484848,121.67617158429853,-59.54632309945006,42.02984848484848,37.55454996267689
0.1,5,high,4,158.525,99.09041459335579,59.43458540664422,62.075,33.38771189065306
0.1,0,low,6,76.22363095238096,159.3491654763714,-83.12553452399034,12.623630952380953,37.61042673763261
0.1,5,high,5,173.57,99.20360217836995,74.36639782162999,59.57000000000001,33.244142718910524
0.1,5,high,5,179.91384615384612,113.43899221793959,66.47485393590655,58.86384615384615,33.61466789361526
0.1,5,high,4,131.07517543859652,107.26147834611454,23.813697092481945,35.975175438596494,35.32904591368216
0.1,5,low,3,68.01708333333333,109.4815273840042,-41.46444405067088,50.317083333333336,37.630176032652805
0.1,5,low,4,53.20666666666667,121.74313389321134,-68.53646722654466,33.10666666666666,37.621512271589665
0.1,5,low,4,50.507941176470595,116.53569450109697,-66.02775332462635,28.307941176470592,37.02218098758347
0.1,5,high,5,158.24348039215687,109.43239616285281,48.81108422930407,50.543480392156866,34.32428805474472
0.1,5,high,5,151.50034090909088,98.5714370500361,52.92890385905477,55.05034090909091,32.868734347333415
0.1,5,high,6,176.09499999999997,100.00155754130213,76.09344245869784,62.095000000000006,34.04209808184266
0.1,0,low,7,88.33599439775911,168.6822941403049,-80.34629974254581,10.735994397759104,38.384996843007684
0.1,5,high,5,135.53944444444443,107.36866977675798,28.170774667686416,40.43944444444445,35.43623734432558
0.1,5,high,6,188.32075757575757,112.6030733614325,75.71768421432508,67.27075757575759,32.77874903710816
0.1,5,low,4,49.47083333333333,108.25261242118829,-58.781779087854886,31.770833333333332,36.40126106983692
0.1,5,low,5,59.375,116.2200674383724,-56.84506743837238,37.175,36.70655392485888
0.1,5,high,6,158.56166666666667,109.52360784400258,49.03805882266413,50.861666666666665,34.415499735894464
0.1,5,low,5,57.50624999999999,121.54211207005326,-64.0358620700533,37.40624999999999,37.42049044843161
0.1,5,high,6,153.21142857142857,98.36176237793886,54.849666193489725,56.76142857142857,32.65905967523615
0.1,0,low,8,94.89423076923076,176.98959669393105,-82.09536592470032,11.294230769230769,37.68329038762475
0.1,5,high,7,182.245,107.85933649764922,74.38566350235077,58.245000000000005,33.43140856972125
0.1,5,high,6,132.37218487394958,107.04740506911558,25.324779804834066,37.27218487394957,35.11497263668316
0.1,5,high,7,190.07500000000002,121.08790647025943,68.98709352974056,59.025,33.33565421800716
0.1,5,low,5,42.829166666666666,109.2372568905077,-66.40809022384101,25.129166666666666,37.38590553915631
0.1,5,low,6,36.562000835421884,116.55347389759152,-79.99147306216965,14.362000835421886,37.03996038407803
0.1,5,high,7,167.7147737556561,116.00435035876215,51.71042339689396,50.01477375565611,32.878224232635986
0.1,5,low,6,36.73625,120.24859485416759,-83.51234485416761,16.63625,36.12697323254599
0.1,0,low,9,97.68430735930735,184.67145565895552,-86.98714829964825,8.084307359307356,36.89668088418088
0.1,5,high,7,162.66500000000002,107.50148249687724,55.16351750312276,56.214999999999996,33.60058159597633
0.1,5,high,8,192.19807692307694,116.99119608237258,75.20688084070441,58.19807692307692,34.00470959588605
0.1,5,high,7,142.77944444444444,115.083544780681,27.695899663763456,37.67944444444445,35.133094330230556
0.1,5,high,8,199.9144642857143,130.25710296445592,69.65736132125838,58.86446428571429,33.766111973464916
0.1,5,low,6,46.68954545454546,107.11194730730331,-60.42240185275785,28.989545454545457,35.260595955952
